mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lbp_patches__n_points,param_lbp_patches__patch_size,param_lbp_patches__radius,param_lbp_patches__step,param_ocsvm__gamma,param_ocsvm__nu,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
245.88445830345154,52.805715799331665,99.81165421009064,7.752787709236145,11,"(32, 32)",1,8,0.2,0.2,"{'lbp_patches__n_points': 11, 'lbp_patches__patch_size': (32, 32), 'lbp_patches__radius': 1, 'lbp_patches__step': 8, 'ocsvm__gamma': 0.2, 'ocsvm__nu': 0.2}",-3288.9798818814515,-3224.5215677796887,-3256.75072483057,32.22915705088144,14
111.01908504962921,0.5507057905197144,55.8811469078064,0.047454833984375,11,"(32, 32)",2,8,0.1,0.1,"{'lbp_patches__n_points': 11, 'lbp_patches__patch_size': (32, 32), 'lbp_patches__radius': 2, 'lbp_patches__step': 8, 'ocsvm__gamma': 0.1, 'ocsvm__nu': 0.1}",-11382.062266644194,-10995.25220110988,-11188.657233877038,193.40503276715663,26
157.26949203014374,10.263119578361511,69.00911152362823,4.90872323513031,11,"(32, 32)",2,8,0.1,0.15,"{'lbp_patches__n_points': 11, 'lbp_patches__patch_size': (32, 32), 'lbp_patches__radius': 2, 'lbp_patches__step': 8, 'ocsvm__gamma': 0.1, 'ocsvm__nu': 0.15}",-37832.082100115804,-36862.84218017754,-37347.46214014667,484.61995996913174,41
252.25952017307281,26.94332253932953,95.33952486515045,4.381136059761047,11,"(32, 32)",2,8,0.1,0.2,"{'lbp_patches__n_points': 11, 'lbp_patches__patch_size': (32, 32), 'lbp_patches__radius': 2, 'lbp_patches__step': 8, 'ocsvm__gamma': 0.1, 'ocsvm__nu': 0.2}",-89915.37708403452,-88408.32759665429,-89161.8523403444,753.5247436901191,49
172.96283400058746,17.87570559978485,50.15860331058502,3.847429633140564,11,"(32, 32)",2,8,0.15,0.1,"{'lbp_patches__n_points': 11, 'lbp_patches__patch_size': (32, 32), 'lbp_patches__radius': 2, 'lbp_patches__step': 8, 'ocsvm__gamma': 0.15, 'ocsvm__nu': 0.1}",-1506.0663632848548,-1484.818963742734,-1495.4426635137943,10.623699771060387,10
181.11731839179993,1.5358667373657227,71.86258220672607,4.307401895523071,11,"(32, 32)",2,8,0.15,0.15,"{'lbp_patches__n_points': 11, 'lbp_patches__patch_size': (32, 32), 'lbp_patches__radius': 2, 'lbp_patches__step': 8, 'ocsvm__gamma': 0.15, 'ocsvm__nu': 0.15}",-5647.5558629680145,-5603.180965088995,-5625.368414028505,22.187448939509522,19
235.69572055339813,28.79679000377655,100.04599726200104,0.20303499698638916,11,"(32, 32)",2,8,0.15,0.2,"{'lbp_patches__n_points': 11, 'lbp_patches__patch_size': (32, 32), 'lbp_patches__radius': 2, 'lbp_patches__step': 8, 'ocsvm__gamma': 0.15, 'ocsvm__nu': 0.2}",-14686.705999101901,-14703.70065340941,-14695.203326255656,8.497327153754668,29
165.81140160560608,21.174569845199585,56.10740613937378,9.146216869354248,11,"(32, 32)",2,8,0.2,0.1,"{'lbp_patches__n_points': 11, 'lbp_patches__patch_size': (32, 32), 'lbp_patches__radius': 2, 'lbp_patches__step': 8, 'ocsvm__gamma': 0.2, 'ocsvm__nu': 0.1}",-230.27315403178497,-229.68219460949945,-229.97767432064222,0.29547971114276095,2
177.45439040660858,1.2673505544662476,72.03159737586975,0.16065669059753418,11,"(32, 32)",2,8,0.2,0.15,"{'lbp_patches__n_points': 11, 'lbp_patches__patch_size': (32, 32), 'lbp_patches__radius': 2, 'lbp_patches__step': 8, 'ocsvm__gamma': 0.2, 'ocsvm__nu': 0.15}",-952.2622284711804,-960.6922932392881,-956.4772608552342,4.21503238405387,4
209.41537630558014,8.417415022850037,104.33978748321533,7.9589409828186035,11,"(32, 32)",2,8,0.2,0.2,"{'lbp_patches__n_points': 11, 'lbp_patches__patch_size': (32, 32), 'lbp_patches__radius': 2, 'lbp_patches__step': 8, 'ocsvm__gamma': 0.2, 'ocsvm__nu': 0.2}",-2674.625787986869,-2720.488792688039,-2697.557290337454,22.931502350585106,13
119.51365315914154,14.425336718559265,56.38117504119873,1.7812621593475342,11,"(32, 32)",3,8,0.1,0.1,"{'lbp_patches__n_points': 11, 'lbp_patches__patch_size': (32, 32), 'lbp_patches__radius': 3, 'lbp_patches__step': 8, 'ocsvm__gamma': 0.1, 'ocsvm__nu': 0.1}",-8103.987620430229,-7831.327081611651,-7967.65735102094,136.33026940928903,25
199.25416457653046,27.47544777393341,51.83993339538574,8.71401071548462,11,"(32, 32)",3,8,0.1,0.15,"{'lbp_patches__n_points': 11, 'lbp_patches__patch_size': (32, 32), 'lbp_patches__radius': 3, 'lbp_patches__step': 8, 'ocsvm__gamma': 0.1, 'ocsvm__nu': 0.15}",-33945.854968022,-32767.450535383257,-33356.652751702626,589.2022163193724,40
274.9653934240341,34.405807852745056,53.59156048297882,0.49157512187957764,11,"(32, 32)",3,8,0.1,0.2,"{'lbp_patches__n_points': 11, 'lbp_patches__patch_size': (32, 32), 'lbp_patches__radius': 3, 'lbp_patches__step': 8, 'ocsvm__gamma': 0.1, 'ocsvm__nu': 0.2}",-98305.89217475434,-93741.58519879644,-96023.73868677538,2282.153487978947,51
130.37051033973694,5.8493123054504395,47.333674907684326,2.731994390487671,11,"(32, 32)",3,8,0.15,0.1,"{'lbp_patches__n_points': 11, 'lbp_patches__patch_size': (32, 32), 'lbp_patches__radius': 3, 'lbp_patches__step': 8, 'ocsvm__gamma': 0.15, 'ocsvm__nu': 0.1}",-1243.9137573932512,-1202.1980869623023,-1223.0559221777767,20.857835215474438,8
211.3107807636261,29.956073760986328,49.30717444419861,0.5406105518341064,11,"(32, 32)",3,8,0.15,0.15,"{'lbp_patches__n_points': 11, 'lbp_patches__patch_size': (32, 32), 'lbp_patches__radius': 3, 'lbp_patches__step': 8, 'ocsvm__gamma': 0.15, 'ocsvm__nu': 0.15}",-5934.131327371302,-5720.643752598078,-5827.38753998469,106.74378738661198,21
217.1032259464264,8.271312475204468,56.78338170051575,8.129101753234863,11,"(32, 32)",3,8,0.15,0.2,"{'lbp_patches__n_points': 11, 'lbp_patches__patch_size': (32, 32), 'lbp_patches__radius': 3, 'lbp_patches__step': 8, 'ocsvm__gamma': 0.15, 'ocsvm__nu': 0.2}",-19015.893418497923,-18143.774199312018,-18579.833808904972,436.05960959295226,33
141.05358386039734,13.344581365585327,55.255340337753296,7.447561740875244,11,"(32, 32)",3,8,0.2,0.1,"{'lbp_patches__n_points': 11, 'lbp_patches__patch_size': (32, 32), 'lbp_patches__radius': 3, 'lbp_patches__step': 8, 'ocsvm__gamma': 0.2, 'ocsvm__nu': 0.1}",-226.3149243116438,-216.80470395552763,-221.55981413358572,4.755110178058089,1
151.6127347946167,1.7658772468566895,46.40302312374115,6.405651688575745,11,"(32, 32)",3,8,0.2,0.15,"{'lbp_patches__n_points': 11, 'lbp_patches__patch_size': (32, 32), 'lbp_patches__radius': 3, 'lbp_patches__step': 8, 'ocsvm__gamma': 0.2, 'ocsvm__nu': 0.15}",-1195.2824195176836,-1143.6824824461078,-1169.4824509818957,25.79996853578791,6
140.81436562538147,15.62195634841919,42.47042751312256,0.26788949966430664,11,"(32, 32)",3,8,0.2,0.2,"{'lbp_patches__n_points': 11, 'lbp_patches__patch_size': (32, 32), 'lbp_patches__radius': 3, 'lbp_patches__step': 8, 'ocsvm__gamma': 0.2, 'ocsvm__nu': 0.2}",-4152.640205277344,-3944.3837453129167,-4048.5119752951305,104.1282299822135,15
